"from","to","id","col","score","result","compare"
"acute care hospitals","acute care hospitals","2","HospitalType","True","True","True"
"voluntary non-profit - private","voluntary non-profit - private","2","HospitalOwner","True","True","True"
"yes","yes","2","EmergencyService","True","True","True"
"surgical infection prevention","surgical infection prevention","2","Condition","False","True","True"
"scip-inf-2","scip-inf-2","2","MeasureCode","True","True","True"
"surgery patients who were given the  right kind  of antibiotic to help prevent infection","surgery patients who were given the  right kind  of antibiotic to help prevent infection","2","MeasureName","False","True","True"
"empty","empty","2","Score","False","True","True"
"empty","empty","2","Sample","True","True","True"
"al_scip-inf-2","al_scip-inf-2","2","Stateavg","False","True","True"
"4","4","3","index","True","True","True"
"10018","10018","3","ProviderNumber","True","True","True"
"callahan eye foundation hospital","callahan eye foundation hospital","3","HospitalName","False","True","True"
"1720 university blvd","1720 university blvd","3","Address1","True","True","True"
"empty","empty","3","Address2","True","True","True"
"empty","empty","3","Address3","True","True","True"
"birminghxm","birmingham","3","City","False","False","False"
"al","al","3","State","True","True","True"
"35233","35233","3","ZipCode","True","True","True"
"jefferson","jefferson","3","CountyName","True","True","True"
"2053258100","2053258100","3","PhoneNumber","True","True","True"
"acute care hospitals","acute care hospitals","3","HospitalType","True","True","True"
"voluntary non-profit - private","voluntary non-profit - private","3","HospitalOwner","True","True","True"
"yes","yes","3","EmergencyService","True","True","True"
"surgical infection prevention","surgical infection prevention","3","Condition","False","True","True"
"scip-inf-3","scip-inf-3","3","MeasureCode","True","True","True"
"surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery)","surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery)","3","MeasureName","False","True","True"
"empty","empty","3","Score","False","True","True"
"empty","empty","3","Sample","True","True","True"
"al_scip-inf-3","al_scip-inf-3","3","Stateavg","False","True","True"
"5","5","4","index","True","True","True"
"10018","10018","4","ProviderNumber","True","True","True"
"callahan eye foundation hospital","callahan eye foundation hospital","4","HospitalName","False","True","True"
"1720 university blvd","1720 university blvd","4","Address1","True","True","True"
"empty","empty","4","Address2","True","True","True"
"empty","empty","4","Address3","True","True","True"
"birmingham","birmingham","4","City","False","True","True"
"al","al","4","State","True","True","True"
"35233","35233","4","ZipCode","True","True","True"
"jefferson","jefferson","4","CountyName","True","True","True"
"2053258100","2053258100","4","PhoneNumber","True","True","True"
"acute care hospitals","acute care hospitals","4","HospitalType","True","True","True"
"voluntary non-profit - private","voluntary non-profit - private","4","HospitalOwner","True","True","True"
"yes","yes","4","EmergencyService","True","True","True"
"surgical infection prevention","surgical infection prevention","4","Condition","False","True","True"
"scip-inf-4","scip-inf-4","4","MeasureCode","True","True","True"
"all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery","all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery","4","MeasureName","False","True","True"
"empty","empty","4","Score","False","True","True"
"empty","empty","4","Sample","True","True","True"
"al_scip-inf-4","al_scip-inf-4","4","Stateavg","False","True","True"
"6","6","5","index","True","True","True"
"10018","10018","5","ProviderNumber","True","True","True"
"callahan eye foundation hospital","callahan eye foundation hospital","5","HospitalName","False","True","True"
"1720 university blvd","1720 university blvd","5","Address1","True","True","True"
"empty","empty","5","Address2","True","True","True"
"empty","empty","5","Address3","True","True","True"
"birmingham","birmingham","5","City","False","True","True"
"al","al","5","State","True","True","True"
"35233","35233","5","ZipCode","True","True","True"
"jefferson","jefferson","5","CountyName","True","True","True"
"2053258100","2053258100","5","PhoneNumber","True","True","True"
"acute care hospitals","acute care hospitals","5","HospitalType","True","True","True"
"voluntary non-profit - private","voluntary non-profit - private","5","HospitalOwner","True","True","True"
"yes","yes","5","EmergencyService","True","True","True"
"surgical infection prevention","surgical infection prevention","5","Condition","False","True","True"
"scip-inf-6","scip-inf-6","5","MeasureCode","True","True","True"
"surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor)","surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor)","5","MeasureName","False","True","True"
"empty","empty","5","Score","False","True","True"
"empty","empty","5","Sample","True","True","True"
"al_scip-inf-6","al_scip-inf-6","5","Stateavg","False","True","True"
"7","7","6","index","True","True","True"
"10018","10018","6","ProviderNumber","True","True","True"
"callahan eye foundation hospital","callahan eye foundation hospital","6","HospitalName","False","True","True"
"1720 university blvd","1720 university blvd","6","Address1","True","True","True"
"empty","empty","6","Address2","True","True","True"
"empty","empty","6","Address3","True","True","True"
"birmingham","birmingham","6","City","False","True","True"
"al","al","6","State","True","True","True"
"35233","35233","6","ZipCode","True","True","True"
"jefferson","jefferson","6","CountyName","True","True","True"
"2053258100","2053258100","6","PhoneNumber","True","True","True"
"acute care hospitals","acute care hospitals","6","HospitalType","True","True","True"
"voluntary non-profit - private","voluntary non-profit - private","6","HospitalOwner","True","True","True"
"yes","yes","6","EmergencyService","True","True","True"
"surgical infection prevention","surgical infection prevention","6","Condition","False","True","True"
"scip-vte-1","scip-vte-1","6","MeasureCode","True","True","True"
"surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries","surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries","6","MeasureName","False","True","True"
"empty","empty","6","Score","False","True","True"
"empty","empty","6","Sample","True","True","True"
"al_scip-vte-1","al_scip-vte-1","6","Stateavg","False","True","True"
"8","8","7","index","True","True","True"
"10018","10018","7","ProviderNumber","True","True","True"
"callahan eye foundation hospital","callahan eye foundation hospital","7","HospitalName","False","True","True"
"1720 university blvd","1720 university blvd","7","Address1","True","True","True"
"empty","empty","7","Address2","True","True","True"
"empty","empty","7","Address3","True","True","True"
"birmingxam","birmingham","7","City","False","False","False"
"al","al","7","State","True","True","True"
"35233","35233","7","ZipCode","True","True","True"
"jefferson","jefferson","7","CountyName","True","True","True"
"2053258100","2053258100","7","PhoneNumber","True","True","True"
"acute care hospitals","acute care hospitals","7","HospitalType","True","True","True"
"voluntary non-profit - private","voluntary non-profit - private","7","HospitalOwner","True","True","True"
"yes","yes","7","EmergencyService","True","True","True"
"surgical infection prevention","surgical infection prevention","7","Condition","False","True","True"
"scip-vte-2","scip-vte-2","7","MeasureCode","True","True","True"
"patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery","patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery","7","MeasureName","False","True","True"
"empty","empty","7","Score","False","True","True"
"empty","empty","7","Sample","True","True","True"
"al_scip-vte-2","al_scip-vte-2","7","Stateavg","False","True","True"
"9","9","8","index","True","True","True"
"10019","10019","8","ProviderNumber","True","True","True"
"helen keller memorial hospital","helen keller memorial hospital","8","HospitalName","False","True","True"
"1300 south montgomery avenue","1300 south montgomery avenue","8","Address1","True","True","True"
"empty","empty","8","Address2","True","True","True"
"empty","empty","8","Address3","True","True","True"
"sheffield","sheffield","8","City","False","True","True"
"al","al","8","State","True","True","True"
"35660","35660","8","ZipCode","False","True","True"
"jefferson","jefferson","8","CountyName","True","True","True"
"2563864556","2563864556","8","PhoneNumber","True","True","True"
"acute care hospitals","acute care hospitals","8","HospitalType","True","True","True"
"government - hospital district or authority","government - hospital district or authority","8","HospitalOwner","True","True","True"
"yes","yes","8","EmergencyService","True","True","True"
"heart attack","heart attack","8","Condition","True","True","True"
"ami-1","ami-1","8","MeasureCode","True","True","True"
"heart attack patients given aspirin at arrival","heart attack patients given aspirin at arrival","8","MeasureName","False","True","True"
"97%","97%","8","Score","True","True","True"
"33 patients","33 patients","8","Sample","True","True","True"
"al_ami-1","al_ami-1","8","Stateavg","False","True","True"
"10","10","9","index","True","True","True"
"10019","10019","9","ProviderNumber","True","True","True"
"helen keller memorial hospital","helen keller memorial hospital","9","HospitalName","False","True","True"
"1300 south montgomery avenue","1300 south montgomery avenue","9","Address1","True","True","True"
"empty","empty","9","Address2","True","True","True"
"empty","empty","9","Address3","True","True","True"
"sheffield","sheffield","9","City","False","True","True"
"al","al","9","State","True","True","True"
"35660","35660","9","ZipCode","False","True","True"
"jefferson","jefferson","9","CountyName","True","True","True"
"2563864556","2563864556","9","PhoneNumber","True","True","True"
"acute care hospitals","acute care hospitals","9","HospitalType","True","True","True"
"government - hospital district or authority","government - hospital district or authority","9","HospitalOwner","True","True","True"
"yes","yes","9","EmergencyService","True","True","True"
"heart attack","heart attack","9","Condition","True","True","True"
"ami-2","ami-2","9","MeasureCode","True","True","True"
"heart attack patients given aspirin at discharge","heart attack patients given aspirin at discharge","9","MeasureName","False","True","True"
"92%","92%","9","Score","True","True","True"
"13 patients","13 patients","9","Sample","True","True","True"
"al_ami-2","al_ami-2","9","Stateavg","False","True","True"
"11","11","10","index","True","True","True"
"10019","10019","10","ProviderNumber","True","True","True"
"helen keller memorial hospital","helen keller memorial hospital","10","HospitalName","False","True","True"
"1300 south montgomery avenue","1300 south montgomery avenue","10","Address1","True","True","True"
"empty","empty","10","Address2","True","True","True"
"empty","empty","10","Address3","True","True","True"
"sheffxeld","sheffield","10","City","False","False","False"
"al","al","10","State","True","True","True"
"35660","35660","10","ZipCode","False","True","True"
"jefferson","jefferson","10","CountyName","True","True","True"
"2563864556","2563864556","10","PhoneNumber","True","True","True"
"acute care hospitals","acute care hospitals","10","HospitalType","True","True","True"
"government - hospital district or authority","government - hospital district or authority","10","HospitalOwner","True","True","True"
"yes","yes","10","EmergencyService","True","True","True"
"heart attack","heart attack","10","Condition","True","True","True"
"ami-3","ami-3","10","MeasureCode","True","True","True"
"heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd)","heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd)","10","MeasureName","False","True","True"
"75%","75%","10","Score","False","True","True"
"4 patients","4 patients","10","Sample","True","True","True"
"al_ami-3","al_ami-3","10","Stateavg","False","True","True"
"12","12","11","index","True","True","True"
"10019","10019","11","ProviderNumber","True","True","True"
"helen keller memorial hospital","helen keller memorial hospital","11","HospitalName","False","True","True"
"1300 south montgomery avenue","1300 south montgomery avenue","11","Address1","True","True","True"
"empty","empty","11","Address2","True","True","True"
"empty","empty","11","Address3","True","True","True"
"sheffield","sheffield","11","City","False","True","True"
"al","al","11","State","True","True","True"
"35660","35660","11","ZipCode","False","True","True"
"jefferson","jefferson","11","CountyName","True","True","True"
"2563864556","2563864556","11","PhoneNumber","True","True","True"
"acute care hospitals","acute care hospitals","11","HospitalType","True","True","True"
"government - hospital district or authority","government - hospital district or authority","11","HospitalOwner","True","True","True"
"yes","yes","11","EmergencyService","True","True","True"
"heart attack","heart attack","11","Condition","True","True","True"
"ami-4","ami-4","11","MeasureCode","True","True","True"
"heart attack patients given smoking cessation advice/counseling","heart attack patients given smoking cessation advice/counseling","11","MeasureName","False","True","True"
"100%","100%","11","Score","True","True","True"
"4 patients","4 patients","11","Sample","True","True","True"
"al_ami-4","al_ami-4","11","Stateavg","False","True","True"
"13","13","12","index","True","True","True"
"10019","10019","12","ProviderNumber","True","True","True"
"helen keller memorial hospital","helen keller memorial hospital","12","HospitalName","False","True","True"
"1300 south montgomery avenue","1300 south montgomery avenue","12","Address1","True","True","True"
"empty","empty","12","Address2","True","True","True"
"empty","empty","12","Address3","True","True","True"
"sheffield","sheffield","12","City","False","True","True"
"al","al","12","State","True","True","True"
"35660","35660","12","ZipCode","False","True","True"
"jefferson","jefferson","12","CountyName","True","True","True"
"2563864556","2563864556","12","PhoneNumber","True","True","True"
"acute care hospitals","acute care hospitals","12","HospitalType","True","True","True"
"government - hospital district or authority","government - hospital district or authority","12","HospitalOwner","True","True","True"
"yes","yes","12","EmergencyService","True","True","True"
"heart attack","heart attack","12","Condition","True","True","True"
"ami-5","ami-5","12","MeasureCode","True","True","True"
"heart attack patients given beta blocker at discharge","heart attack patients given beta blocker at discharge","12","MeasureName","False","True","True"
"86%","86%","12","Score","True","True","True"
"14 patients","14 patients","12","Sample","True","True","True"
"al_ami-5","al_ami-5","12","Stateavg","False","True","True"
"14","14","13","index","True","True","True"
"1xx19","10019","13","ProviderNumber","False","False","False"
"helen keller memorial hospital","helen keller memorial hospital","13","HospitalName","False","True","True"
"1300 south montgomery avenue","1300 south montgomery avenue","13","Address1","True","True","True"
"empty","empty","13","Address2","True","True","True"
"empty","empty","13","Address3","True","True","True"
"sheffield","sheffield","13","City","False","True","True"
"al","al","13","State","True","True","True"
"35660","35660","13","ZipCode","False","True","True"
"jefferson","jefferson","13","CountyName","True","True","True"
"2563864556","2563864556","13","PhoneNumber","True","True","True"
"acute care hospitals","acute care hospitals","13","HospitalType","True","True","True"
"government - hospital district or authority","government - hospital district or authority","13","HospitalOwner","True","True","True"
"yes","yes","13","EmergencyService","True","True","True"
"heart attack","heart attack","13","Condition","True","True","True"
"ami-7a","ami-7a","13","MeasureCode","True","True","True"
"heart attack patients given fibrinolytic medication within 30 minutes of arrival","heart attack patients given fibrinolytic medication within 30 minutes of arrival","13","MeasureName","False","True","True"
"empty","empty","13","Score","False","True","True"
"0 patients","0 patients","13","Sample","True","True","True"
"al_ami-7a","al_ami-7a","13","Stateavg","False","True","True"
"15","15","14","index","True","True","True"
"10019","10019","14","ProviderNumber","True","True","True"
"helen keller memorial hospital","helen keller memorial hospital","14","HospitalName","False","True","True"
"1300 south montgomery avenue","1300 south montgomery avenue","14","Address1","True","True","True"
"empty","empty","14","Address2","True","True","True"
"empty","empty","14","Address3","True","True","True"
"sheffield","sheffield","14","City","False","True","True"
"al","al","14","State","True","True","True"
"35660","35660","14","ZipCode","False","True","True"
"jefferson","jefferson","14","CountyName","True","True","True"
"2563864556","2563864556","14","PhoneNumber","True","True","True"
"acute care hospitals","acute care hospitals","14","HospitalType","True","True","True"
"government - hospital district or authority","government - hospital district or authority","14","HospitalOwner","True","True","True"
"yes","yes","14","EmergencyService","True","True","True"
"heart attack","heart attack","14","Condition","True","True","True"
"ami-8a","ami-8a","14","MeasureCode","True","True","True"
"heart attack patients given pci within 90 minutes of arrival","heart attack patients given pci within 90 minutes of arrival","14","MeasureName","False","True","True"
"empty","empty","14","Score","False","True","True"
"0 patients","0 patients","14","Sample","True","True","True"
"al_ami-8a","al_ami-8a","14","Stateavg","False","True","True"
"16","16","15","index","True","True","True"
"10019","10019","15","ProviderNumber","True","True","True"
"helen keller memorial hospital","helen keller memorial hospital","15","HospitalName","False","True","True"
"1300 south montgomery avenue","1300 south montgomery avenue","15","Address1","True","True","True"
"empty","empty","15","Address2","True","True","True"
"empty","empty","15","Address3","True","True","True"
"sheffield","sheffield","15","City","False","True","True"
"al","al","15","State","True","True","True"
"35660","35660","15","ZipCode","False","True","True"
"jefferson","jefferson","15","CountyName","True","True","True"
"2563864556","2563864556","15","PhoneNumber","True","True","True"
"acute care hospitals","acute care hospitals","15","HospitalType","True","True","True"
"government - hospital district or authority","government - hospital district or authority","15","HospitalOwner","True","True","True"
"yes","yes","15","EmergencyService","True","True","True"
"heart failure","heart failure","15","Condition","True","True","True"
"hf-1","hf-1","15","MeasureCode","True","True","True"
"heart failure patients given discharge instructions","heart failure patients given discharge instructions","15","MeasureName","False","True","True"
"80%","80%","15","Score","True","True","True"
"114 patients","114 patients","15","Sample","True","True","True"
"al_hf-1","al_hf-1","15","Stateavg","False","True","True"
"17","17","16","index","True","True","True"
"10019","10019","16","ProviderNumber","True","True","True"
"helen keller memorial hospital","helen keller memorial hospital","16","HospitalName","False","True","True"
"1300 south montgomery avenue","1300 south montgomery avenue","16","Address1","True","True","True"
"empty","empty","16","Address2","True","True","True"
"empty","empty","16","Address3","True","True","True"
"sheffield","sheffield","16","City","False","True","True"
"al","al","16","State","True","True","True"
"35660","35660","16","ZipCode","False","True","True"
"jefferson","jefferson","16","CountyName","True","True","True"
"2563864556","2563864556","16","PhoneNumber","True","True","True"
"acuxe care hospixals","acute care hospitals","16","HospitalType","False","False","False"
"government - hospital district or authority","government - hospital district or authority","16","HospitalOwner","True","True","True"
"yes","yes","16","EmergencyService","True","True","True"
"heart failure","heart failure","16","Condition","True","True","True"
"hf-2","hf-2","16","MeasureCode","True","True","True"
"heart failure patients given an evaluation of left ventricular systolic (lvs) function","heart failure patients given an evaluation of left ventricular systolic (lvs) function","16","MeasureName","False","True","True"
"99%","99%","16","Score","True","True","True"
"149 patients","149 patients","16","Sample","True","True","True"
"al_hf-2","al_hf-2","16","Stateavg","False","True","True"
"18","18","17","index","True","True","True"
"10019","10019","17","ProviderNumber","True","True","True"
"helen keller memorial hospital","helen keller memorial hospital","17","HospitalName","False","True","True"
"1300 south montgomery avenue","1300 south montgomery avenue","17","Address1","True","True","True"
"empty","empty","17","Address2","True","True","True"
"empty","empty","17","Address3","True","True","True"
"sheffield","sheffield","17","City","False","True","True"
"al","al","17","State","True","True","True"
"35660","35660","17","ZipCode","False","True","True"
"jefferson","jefferson","17","CountyName","True","True","True"
"2563864556","2563864556","17","PhoneNumber","True","True","True"
"acute care hospitals","acute care hospitals","17","HospitalType","True","True","True"
"government - hospital district or authority","government - hospital district or authority","17","HospitalOwner","True","True","True"
"yes","yes","17","EmergencyService","True","True","True"
"heart failure","heart failure","17","Condition","True","True","True"
"hf-3","hf-3","17","MeasureCode","True","True","True"
"heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd)","heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd)","17","MeasureName","False","True","True"
"92%","92%","17","Score","True","True","True"
"3x patients","37 patients","17","Sample","True","False","False"
"al_hf-3","al_hf-3","17","Stateavg","False","True","True"
"19","19","18","index","True","True","True"
"10019","10019","18","ProviderNumber","True","True","True"
"helen keller memorial hospital","helen keller memorial hospital","18","HospitalName","False","True","True"
"1300 south montgomery avenue","1300 south montgomery avenue","18","Address1","True","True","True"
"empty","empty","18","Address2","True","True","True"
"empty","empty","18","Address3","True","True","True"
"sheffield","sheffield","18","City","False","True","True"
"al","al","18","State","True","True","True"
"35660","35660","18","ZipCode","False","True","True"
"jefferson","jefferson","18","CountyName","True","True","True"
"2563864556","2563864556","18","PhoneNumber","True","True","True"
"acute care hospitals","acute care hospitals","18","HospitalType","True","True","True"
"government - hospital district or authority","government - hospital district or authority","18","HospitalOwner","True","True","True"
"yes","yes","18","EmergencyService","True","True","True"
"heart failure","heart failure","18","Condition","True","True","True"
"hf-4","hf-4","18","MeasureCode","True","True","True"
"heart failure patients given smoking cessation advice/counseling","heart failure patients given smoking cessation advice/counseling","18","MeasureName","False","True","True"
"100%","100%","18","Score","True","True","True"
"41 patients","41 patients","18","Sample","True","True","True"
"al_hf-4","al_hf-4","18","Stateavg","False","True","True"
"20","20","19","index","True","True","True"
"10001","10001","19","ProviderNumber","True","True","True"
"southeast alabama medical center","southeast alabama medical center","19","HospitalName","False","True","True"
"1108 ross clark circle","1108 ross clark circle","19","Address1","True","True","True"
"empty","empty","19","Address2","True","True","True"
"empty","empty","19","Address3","True","True","True"
"dothan","dothan","19","City","False","True","True"
"al","al","19","State","True","True","True"
"36302","36302","19","ZipCode","True","True","True"
"houston","houston","19","CountyName","False","True","True"
"3347938701","3347938701","19","PhoneNumber","True","True","True"
"acute care hospitals","acute care hospitals","19","HospitalType","True","True","True"
"government - hospital district or authority","government - hospital district or authority","19","HospitalOwner","True","True","True"
"yes","yes","19","EmergencyService","True","True","True"
"heart attack","heart attack","19","Condition","True","True","True"
"ami-1","ami-1","19","MeasureCode","True","True","True"
"heart attack patients given aspirin at arrival","heart attack patients given aspirin at arrival","19","MeasureName","False","True","True"
"98%","98%","19","Score","True","True","True"
"270 patients","270 patients","19","Sample","True","True","True"
"al_ami-1","al_ami-1","19","Stateavg","False","True","True"
"21","21","20","index","True","True","True"
"10001","10001","20","ProviderNumber","True","True","True"
"southeast alabama medical center","southeast alabama medical center","20","HospitalName","False","True","True"
"1108 ross clark circle","1108 ross clark circle","20","Address1","True","True","True"
"empty","empty","20","Address2","True","True","True"
"empty","empty","20","Address3","True","True","True"
"dothan","dothan","20","City","False","True","True"
"al","al","20","State","True","True","True"
"36302","36302","20","ZipCode","True","True","True"
"houston","houston","20","CountyName","False","True","True"
"3347938701","3347938701","20","PhoneNumber","True","True","True"
"acute care hospitals","acute care hospitals","20","HospitalType","True","True","True"
"government - hospital district or authority","government - hospital district or authority","20","HospitalOwner","True","True","True"
"yes","yes","20","EmergencyService","True","True","True"
"heart attack","heart attack","20","Condition","True","True","True"
"ami-2","ami-2","20","MeasureCode","True","True","True"
"heart attack patients given aspirin at discharge","heart attack patients given aspirin at discharge","20","MeasureName","False","True","True"
"99%","99%","20","Score","True","True","True"
"516 patients","516 patients","20","Sample","True","True","True"
"al_ami-2","al_ami-2","20","Stateavg","False","True","True"
"22","22","21","index","True","True","True"
"10001","10001","21","ProviderNumber","True","True","True"
"southeast alabama medical center","southeast alabama medical center","21","HospitalName","False","True","True"
"1108 ross clark circle","1108 ross clark circle","21","Address1","True","True","True"
"empty","empty","21","Address2","True","True","True"
"empty","empty","21","Address3","True","True","True"
"dothan","dothan","21","City","False","True","True"
"al","al","21","State","True","True","True"
"36302","36302","21","ZipCode","True","True","True"
"houston","houston","21","CountyName","False","True","True"
"3347938701","3347938701","21","PhoneNumber","True","True","True"
"acute care hospitals","acute care hospitals","21","HospitalType","True","True","True"
"government - hospital district or authority","government - hospital district or authority","21","HospitalOwner","True","True","True"
"yes","yes","21","EmergencyService","True","True","True"
"heart attaxk","heart attack","21","Condition","False","False","False"
"ami-3","ami-3","21","MeasureCode","True","True","True"
"heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd)","heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd)","21","MeasureName","False","True","True"
"96%","96%","21","Score","True","True","True"
"71 patients","71 patients","21","Sample","True","True","True"
"al_ami-3","al_ami-3","21","Stateavg","False","True","True"
"23","23","22","index","True","True","True"
"10001","10001","22","ProviderNumber","True","True","True"
"southeast alabama medical center","southeast alabama medical center","22","HospitalName","False","True","True"
"1108 ross clark circle","1108 ross clark circle","22","Address1","True","True","True"
"empty","empty","22","Address2","True","True","True"
"empty","empty","22","Address3","True","True","True"
"dothan","dothan","22","City","False","True","True"
"al","al","22","State","True","True","True"
"36302","36302","22","ZipCode","True","True","True"
"houston","houston","22","CountyName","False","True","True"
"3347938701","3347938701","22","PhoneNumber","True","True","True"
"acute care hospitals","acute care hospitals","22","HospitalType","True","True","True"
"government - hospxtal dxstrxct or authorxty","government - hospital district or authority","22","HospitalOwner","True","False","False"
"yes","yes","22","EmergencyService","True","True","True"
"hearx axxack","heart attack","22","Condition","False","False","False"
"ami-4","ami-4","22","MeasureCode","True","True","True"
"heart attack patients given smoking cessation advice/counseling","heart attack patients given smoking cessation advice/counseling","22","MeasureName","False","True","True"
"100%","100%","22","Score","True","True","True"
"244 patients","244 patients","22","Sample","True","True","True"
"al_ami-4","al_ami-4","22","Stateavg","False","True","True"
"24","24","23","index","True","True","True"
"10001","10001","23","ProviderNumber","True","True","True"
"southeast alabama medical center","southeast alabama medical center","23","HospitalName","False","True","True"
"1108 ross clark circle","1108 ross clark circle","23","Address1","True","True","True"
"empty","empty","23","Address2","True","True","True"
"empty","empty","23","Address3","True","True","True"
"dothan","dothan","23","City","False","True","True"
"al","al","23","State","True","True","True"
"36302","36302","23","ZipCode","True","True","True"
"houston","houston","23","CountyName","False","True","True"
"3347938701","3347938701","23","PhoneNumber","True","True","True"
"acute care hospitals","acute care hospitals","23","HospitalType","True","True","True"
"government - hospital district or authority","government - hospital district or authority","23","HospitalOwner","True","True","True"
"yes","yes","23","EmergencyService","True","True","True"
"heart attack","heart attack","23","Condition","True","True","True"
"ami-5","ami-5","23","MeasureCode","True","True","True"
"heart attack patients given beta blocker at discharge","heart attack patients given beta blocker at discharge","23","MeasureName","False","True","True"
"99%","99%","23","Score","True","True","True"
"441 patients","441 patients","23","Sample","True","True","True"
"al_ami-5","al_ami-5","23","Stateavg","False","True","True"
"25","25","24","index","True","True","True"
"10001","10001","24","ProviderNumber","True","True","True"
"southeast alabama medical center","southeast alabama medical center","24","HospitalName","False","True","True"
"1108 ross clark circle","1108 ross clark circle","24","Address1","True","True","True"
"empty","empty","24","Address2","True","True","True"
"empty","empty","24","Address3","True","True","True"
"dothan","dothan","24","City","False","True","True"
"al","al","24","State","True","True","True"
"36302","36302","24","ZipCode","True","True","True"
"houston","houston","24","CountyName","False","True","True"
"334793870x","3347938701","24","PhoneNumber","False","False","False"
"acute care hospitals","acute care hospitals","24","HospitalType","True","True","True"
"government - hospital district or authority","government - hospital district or authority","24","HospitalOwner","True","True","True"
"yxs","yes","24","EmergencyService","False","False","False"
"heart attack","heart attack","24","Condition","True","True","True"
"ami-7a","ami-7a","24","MeasureCode","True","True","True"
"heart attack patients given fibrinolytic medication within 30 minutes of arrival","heart attack patients given fibrinolytic medication within 30 minutes of arrival","24","MeasureName","False","True","True"
