"from","to","id","col","score","result","compare"
"International journal of clinical and experimental medicine","International journal of clinical and experimental medicine","11","journal_title","True","True","True"
"Int J Clin Exp Med","Int J Clin Exp Med","11","jounral_abbreviation","True","True","True"
"1940-5901","1940-5901","11","journal_issn","True","True","True"
"8","8","11","article_jvolumn","True","True","True"
"6","6","11","article_jissue","True","True","True"
"1/1/15","1/15/01","11","article_jcreated_at","False","False","False"
"10213-10224","10213-10224","11","article_pagination","True","True","True"
"{""Yang M"",""Li J"",""Li Y"",""Zhou M"",""Yang H"",""Shi X"",""Li X"",""Yuan H""}","{""Yang M"",""Li J"",""Li Y"",""Zhou M"",""Yang H"",""Shi X"",""Li X"",""Yuan H""}","11","author_list","True","True","True"
"278396","278396","12","id","True","True","True"
"Smoking is accompanied by a suppressed cervical nitric oxide release in women with high-risk human papillomavirus infection","Smoking is accompanied by a suppressed cervical nitric oxide release in women with high-risk human papillomavirus infection","12","article_title","True","True","True"
"eng","eng","12","article_language","True","True","True"
"Acta Obstet Gynecol Scand","Acta Obstet Gynecol Scand","12","journal_title","True","True","True"
"Acta obstetricia et gynecologica Scandinavica","Acta obstetricia et gynecologica Scandinavica","12","jounral_abbreviation","True","True","True"
"0001-6349 (Print) 0001-6349","0001-6349 (Print) 0001-6349","12","journal_issn","True","True","True"
"92","92","12","article_jvolumn","True","True","True"
"6","6","12","article_jissue","True","True","True"
"1/1/13","1/13/01","12","article_jcreated_at","False","False","False"
"711-5","711-5","12","article_pagination","True","True","True"
"{""T. S. Mikkola"",""S. Vuorento"",""O. Ylikorkala"",""M. Vaisanen-Tommiska"",""P. Rahkola-Soisalo""}","{""T. S. Mikkola"",""S. Vuorento"",""O. Ylikorkala"",""M. Vaisanen-Tommiska"",""P. Rahkola-Soisalo""}","12","author_list","True","True","True"
"965082","965082","13","id","True","True","True"
"Imaging of scar in patients with ventricular arrhythmias of right ventricular origin: Cardiac magnetic resonance versus electroanatomic mapping","Imaging of scar in patients with ventricular arrhythmias of right ventricular origin: Cardiac magnetic resonance versus electroanatomic mapping","13","article_title","True","True","True"
"","","13","article_language","True","True","True"
"Heart Rhythm","Heart Rhythm","13","journal_title","True","True","True"
"","","13","jounral_abbreviation","True","True","True"
"1547-5271","1547-5271","13","journal_issn","True","True","True"
"8","8","13","article_jvolumn","True","True","True"
"5","5","13","article_jissue","True","True","True"
"1/1/11","1/11/01","13","article_jcreated_at","False","False","False"
"S40","S40","13","article_pagination","True","True","True"
"{""C. Hamilton-Craig"",""S. Bartoletti"",""M. Casella"",""F. Perna"",""M. L. Narducci"",""P. Santangeli"",""F. Pintus"",""A. Natale"",""A. Dello Russo"",""G. Pelargonio"",""G. Bencardino"",""J. D. Burkhardt"",""F. Bellocci"",""L. Di Biase""}","{""C. Hamilton-Craig"",""S. Bartoletti"",""M. Casella"",""F. Perna"",""M. L. Narducci"",""P. Santangeli"",""F. Pintus"",""A. Natale"",""A. Dello Russo"",""G. Pelargonio"",""G. Bencardino"",""J. D. Burkhardt"",""F. Bellocci"",""L. Di Biase""}","13","author_list","True","True","True"
"53321","53321","14","id","True","True","True"
"Monoaxial versus polyaxial locking systems: a biomechanical analysis of different locking systems for the fixation of proximal humeral fractures","Monoaxial versus polyaxial locking systems: a biomechanical analysis of different locking systems for the fixation of proximal humeral fractures","14","article_title","True","True","True"
"eng","eng","14","article_language","True","True","True"
"","","14","journal_title","True","True","True"
"","","14","jounral_abbreviation","True","True","True"
"","","14","journal_issn","True","True","True"
"35","35","14","article_jvolumn","True","True","True"
"8","8","14","article_jissue","True","True","True"
"1/1/11","1/11/01","14","article_jcreated_at","False","False","False"
"1245-50","1245-50","14","article_pagination","True","True","True"
"{""T. Topp"",""C. Kuhne"",""S. Ruchholtz"",""U. Lewan"",""A. Kruger"",""T. Muller"",""R. Zettl""}","{""T. Topp"",""C. Kuhne"",""S. Ruchholtz"",""U. Lewan"",""A. Kruger"",""T. Muller"",""R. Zettl""}","14","author_list","True","True","True"
"13601","13601","15","id","True","True","True"
"Latex allergy in atopic children.","Latex allergy in atopic children.","15","article_title","True","True","True"
"eng","eng","15","article_language","True","True","True"
"British Journal of Dermatology. ","British Journal of Dermatology. ","15","journal_title","True","True","True"
"","","15","jounral_abbreviation","True","True","True"
"0007-0963","0007-0963","15","journal_issn","True","True","True"
"140","140","15","article_jvolumn","True","True","True"
"5","5","15","article_jissue","True","True","True"
"5/1/99","5/1/99","15","article_jcreated_at","False","True","True"
"919-21","919-21","15","article_pagination","True","True","True"
"{""R S Lever"",""S A Holme""}","{""R S Lever"",""S A Holme""}","15","author_list","True","True","True"
"668310","668310","16","id","True","True","True"
"A randomized controlled trial of Tai chi for balance, sleep quality and cognitive performance in elderly Vietnamese.","A randomized controlled trial of Tai chi for balance, sleep quality and cognitive performance in elderly Vietnamese.","16","article_title","True","True","True"
"eng","eng","16","article_language","True","True","True"
"Clinical Interventions In Aging","Clinical Interventions In Aging","16","journal_title","True","True","True"
"Clin Interv Aging","Clin Interv Aging","16","jounral_abbreviation","True","True","True"
"1178-1998","1178-1998","16","journal_issn","True","True","True"
"7","7","16","article_jvolumn","True","True","True"
"","-1","16","article_jissue","False","False","False"
"1/1/12","1/12/01","16","article_jcreated_at","False","False","False"
"185-90","185-90","16","article_pagination","True","True","True"
"{""Andreas Kruse"",""Manh Hung Nguyen""}","{""Andreas Kruse"",""Manh Hung Nguyen""}","16","author_list","True","True","True"
"282987","282987","17","id","True","True","True"
"Multisystemic Therapy for social, emotional, and behavioral problems in youth aged 10-17","Multisystemic Therapy for social, emotional, and behavioral problems in youth aged 10-17","17","article_title","True","True","True"
"eng","eng","17","article_language","True","True","True"
"Cochrane Database Syst Rev","Cochrane Database Syst Rev","17","journal_title","True","True","True"
"","","17","jounral_abbreviation","True","True","True"
"1469-493X","1469-493X","17","journal_issn","True","True","True"
"0","0","17","article_jvolumn","True","True","True"
"4","4","17","article_jissue","True","True","True"
"1/1/05","1/5/01","17","article_jcreated_at","False","False","False"
"Cd004797","Cd004797","17","article_pagination","True","True","True"
"{""J. H. Littell"",""M. Popa"",""B. Forsythe""}","{""J. H. Littell"",""M. Popa"",""B. Forsythe""}","17","author_list","True","True","True"
"478292","478292","18","id","True","True","True"
"Haemodynamic ischaemia in paediatric moyamoya disease associated with renovascular hypertension.","Haemodynamic ischaemia in paediatric moyamoya disease associated with renovascular hypertension.","18","article_title","True","True","True"
"eng","eng","18","article_language","True","True","True"
"Acta Neurochirurgica","Acta Neurochirurgica","18","journal_title","True","True","True"
"","","18","jounral_abbreviation","True","True","True"
"Jan-68","Jan-68","18","journal_issn","False","True","True"
"139","139","18","article_jvolumn","True","True","True"
"3","3","18","article_jissue","True","True","True"
"1/1/97","1/1/97","18","article_jcreated_at","False","True","True"
"257-8","257-8","18","article_pagination","True","True","True"
"{""Y Takagi"",""N Hashimoto"",""Y Goto""}","{""Y Takagi"",""N Hashimoto"",""Y Goto""}","18","author_list","True","True","True"
"43736","43736","19","id","True","True","True"
"Effect of pedaling technique on mechanical effectiveness and efficiency in cyclists.","Effect of pedaling technique on mechanical effectiveness and efficiency in cyclists.","19","article_title","True","True","True"
"eng","eng","19","article_language","True","True","True"
"Medicine and science in sports and exercise","Medicine and science in sports and exercise","19","journal_title","True","True","True"
"Med Sci Sports Exerc","Med Sci Sports Exerc","19","jounral_abbreviation","True","True","True"
"0195-9131","0195-9131","19","journal_issn","True","True","True"
"39","39","19","article_jvolumn","True","True","True"
"6","6","19","article_jissue","True","True","True"
"6/1/07","1/7/06","19","article_jcreated_at","False","False","False"
"991-5","991-5","19","article_pagination","True","True","True"
"{""James C Martin"",""Ian Mayhew"",""Lee M Romer"",""Thomas Korff""}","{""James C Martin"",""Ian Mayhew"",""Lee M Romer"",""Thomas Korff""}","19","author_list","True","True","True"
"82614","82614","20","id","True","True","True"
"Lycopene metabolite, apo-10'-lycopenoic acid, inhibits diethylnitrosamine-initiated, high fat diet-promoted hepatic inflammation and tumorigenesis in mice.","Lycopene metabolite, apo-10'-lycopenoic acid, inhibits diethylnitrosamine-initiated, high fat diet-promoted hepatic inflammation and tumorigenesis in mice.","20","article_title","True","True","True"
"eng","eng","20","article_language","True","True","True"
"Cancer prevention research (Philadelphia, Pa.)","Cancer prevention research (Philadelphia, Pa.)","20","journal_title","True","True","True"
"Cancer Prev Res (Phila)","Cancer Prev Res (Phila)","20","jounral_abbreviation","True","True","True"
"1940-6215","1940-6215","20","journal_issn","True","True","True"
"6","6","20","article_jvolumn","True","True","True"
"12","12","20","article_jissue","True","True","True"
"12/1/13","1/13/12","20","article_jcreated_at","False","False","False"
"1304-16","1304-16","20","article_pagination","True","True","True"
"{""Lynne M Ausman"",""Martin S Obin"",""Xiang-Dong Wang"",""Chun Liu"",""Blanche C Ip"",""Donald E Smith"",""Kang-Quan Hu""}","{""Lynne M Ausman"",""Martin S Obin"",""Xiang-Dong Wang"",""Chun Liu"",""Blanche C Ip"",""Donald E Smith"",""Kang-Quan Hu""}","20","author_list","True","True","True"
"163526","163526","21","id","True","True","True"
"A performance improvement process to tackle tachysystole","A performance improvement process to tackle tachysystole","21","article_title","True","True","True"
"English","English","21","article_language","True","True","True"
"","","21","journal_title","True","True","True"
"","","21","jounral_abbreviation","True","True","True"
"","","21","journal_issn","True","True","True"
"40","40","21","article_jvolumn","True","True","True"
"0","0","21","article_jissue","True","True","True"
"1/1/11","1/11/01","21","article_jcreated_at","False","False","False"
"512-9 ST  - A performance improvement process to tackle tachysystole-","512-9 ST  - A performance improvement process to tackle tachysystole-","21","article_pagination","True","True","True"
"{""V. E. CN  - medline DA  - Sep-Oct DB  - MEDLINE DO  - http://dx.doi.org/10.1111/j.1552-6909.2011.01275.x DP  - Ovid Technologies von Gruenigen"",""A. M. Burkett"",""J. Doyle"",""T. H. Kenny""}","{""V. E. CN  - medline DA  - Sep-Oct DB  - MEDLINE DO  - http://dx.doi.org/10.1111/j.1552-6909.2011.01275.x DP  - Ovid Technologies von Gruenigen"",""A. M. Burkett"",""J. Doyle"",""T. H. Kenny""}","21","author_list","True","True","True"
"514411","514411","22","id","True","True","True"
"Osteoid osteoma treated by percutaneous thermal ablation: when do we fail? A systematic review and guidelines for future reporting.","Osteoid osteoma treated by percutaneous thermal ablation: when do we fail? A systematic review and guidelines for future reporting.","22","article_title","True","True","True"
"eng","eng","22","article_language","True","True","True"
"Cardiovascular and interventional radiology","Cardiovascular and interventional radiology","22","journal_title","True","True","True"
"Cardiovasc Intervent Radiol","Cardiovasc Intervent Radiol","22","jounral_abbreviation","True","True","True"
"1432-086X","1432-086X","22","journal_issn","True","True","True"
"37","37","22","article_jvolumn","True","True","True"
"6","6","22","article_jissue","True","True","True"
"12/1/14","1/14/12","22","article_jcreated_at","False","False","False"
"1530-9","1530-9","22","article_pagination","True","True","True"
"{""Luca Maria Sconfienza"",""Ezio Lanza"",""Gianpaolo Cornalba"",""Dario Poretti"",""Catherine Cyteval"",""Pierre Viala"",""Francesco Sardanelli"",""Yann Thouvenin""}","{""Luca Maria Sconfienza"",""Ezio Lanza"",""Gianpaolo Cornalba"",""Dario Poretti"",""Catherine Cyteval"",""Pierre Viala"",""Francesco Sardanelli"",""Yann Thouvenin""}","22","author_list","True","True","True"
"569841","569841","23","id","True","True","True"
"Effects of chemotherapy in AIDS-associated non-Hodgkin's lymphoma on Kaposi's sarcoma herpesvirus DNA in blood.","Effects of chemotherapy in AIDS-associated non-Hodgkin's lymphoma on Kaposi's sarcoma herpesvirus DNA in blood.","23","article_title","True","True","True"
"eng","eng","23","article_language","True","True","True"
"Journal of clinical oncology : official journal of the American Society of Clinical Oncology","Journal of clinical oncology : official journal of the American Society of Clinical Oncology","23","journal_title","True","True","True"
"J. Clin. Oncol.","J. Clin. Oncol.","23","jounral_abbreviation","True","True","True"
"1527-7755","1527-7755","23","journal_issn","True","True","True"
"27","27","23","article_jvolumn","True","True","True"
"15","15","23","article_jissue","True","True","True"
"5/20/09","5/20/09","23","article_jcreated_at","False","True","True"
"2496-502","2496-502","23","article_pagination","True","True","True"
"{""Ariela Noy"",""Lawrence D Kaplan"",""Yanxing Yu"",""Alexandra M Levine"",""Richard F Ambinder"",""Susan E Krown"",""Bruce J Dezube"",""Lan Lin"",""Jeannette Y Lee"",""Gary S Hayward""}","{""Ariela Noy"",""Lawrence D Kaplan"",""Yanxing Yu"",""Alexandra M Levine"",""Richard F Ambinder"",""Susan E Krown"",""Bruce J Dezube"",""Lan Lin"",""Jeannette Y Lee"",""Gary S Hayward""}","23","author_list","True","True","True"
"6207","6207","24","id","True","True","True"
"Serum MMPs 7-9 and their inhibitors during glucocorticoid and anti-TNF-alpha therapy in pediatric inflammatory bowel disease","Serum MMPs 7-9 and their inhibitors during glucocorticoid and anti-TNF-alpha therapy in pediatric inflammatory bowel disease","24","article_title","True","True","True"
"","","24","article_language","True","True","True"
"Scandinavian Journal of Gastroenterology","Scandinavian Journal of Gastroenterology","24","journal_title","True","True","True"
"","","24","jounral_abbreviation","True","True","True"
"","","24","journal_issn","True","True","True"
"47","47","24","article_jvolumn","True","True","True"
"7","7","24","article_jissue","True","True","True"
"1/1/12","1/12/01","24","article_jcreated_at","False","False","False"
"785-794","785-794","24","article_pagination","True","True","True"
"{""Kaija Leena Kolho"",""Hanne Rintamaki"",""Taina Tervahartiala"",""Timo Sorsa"",""Laura Makitalo""}","{""Kaija Leena Kolho"",""Hanne Rintamaki"",""Taina Tervahartiala"",""Timo Sorsa"",""Laura Makitalo""}","24","author_list","True","True","True"
"21910","21910","25","id","True","True","True"
"Examining waiting placement in hospital: utilization and the lived experience.","Examining waiting placement in hospital: utilization and the lived experience.","25","article_title","True","True","True"
"eng","eng","25","article_language","True","True","True"
"Global journal of health science","Global journal of health science","25","journal_title","True","True","True"
"Glob J Health Sci","Glob J Health Sci","25","jounral_abbreviation","True","True","True"
"1916-9736","1916-9736","25","journal_issn","True","True","True"
"6","6","25","article_jvolumn","True","True","True"
"2","2","25","article_jissue","True","True","True"
"3/1/14","1/14/03","25","article_jcreated_at","False","False","False"
"22-Dec","22-Dec","25","article_pagination","True","True","True"
"{""Donna M Wilson"",""Jessica A Hewitt"",""Ralph Magnus"",""Jill Vihos"",""Karen Peterson"",""Nancy Barnes""}","{""Donna M Wilson"",""Jessica A Hewitt"",""Ralph Magnus"",""Jill Vihos"",""Karen Peterson"",""Nancy Barnes""}","25","author_list","True","True","True"
"378490","378490","26","id","True","True","True"
"A prospective observational study of obesity, body composition, and insulin resistance in 18 women with bipolar disorder and 17 matched control subjects.","A prospective observational study of obesity, body composition, and insulin resistance in 18 women with bipolar disorder and 17 matched control subjects.","26","article_title","True","True","True"
"eng","eng","26","article_language","True","True","True"
"The Journal of clinical psychiatry","The Journal of clinical psychiatry","26","journal_title","True","True","True"
"J Clin Psychiatry","J Clin Psychiatry","26","jounral_abbreviation","True","True","True"
"1555-2101","1555-2101","26","journal_issn","True","True","True"
"69","69","26","article_jvolumn","True","True","True"
"12","12","26","article_jissue","True","True","True"
"12/1/08","1/8/12","26","article_jcreated_at","False","False","False"
"1892-900","1892-900","26","article_pagination","True","True","True"
"{""Isabella Soreca"",""Andrea Fagiolini"",""David J Kupfer"",""Bret H Goodpaster"",""Sara B Fleet-Michaliszyn"",""Amy D Otto"",""John M Jakicic""}","{""Isabella Soreca"",""Andrea Fagiolini"",""David J Kupfer"",""Bret H Goodpaster"",""Sara B Fleet-Michaliszyn"",""Amy D Otto"",""John M Jakicic""}","26","author_list","True","True","True"
"971878","971878","27","id","True","True","True"
"Diminished A-cell secretion in the early phase of type I diabetes mellitus","Diminished A-cell secretion in the early phase of type I diabetes mellitus","27","article_title","True","True","True"
"English","English","27","article_language","True","True","True"
"Metabolism: Clinical and Experimental","Metabolism: Clinical and Experimental","27","journal_title","True","True","True"
"","","27","jounral_abbreviation","True","True","True"
"","","27","journal_issn","True","True","True"
"35","35","27","article_jvolumn","True","True","True"
"11","11","27","article_jissue","True","True","True"
"1/1/86","1/1/86","27","article_jcreated_at","False","True","True"
"1074-1077","1074-1077","27","article_pagination","True","True","True"
"{""S. Srikanta"",""O. P. Ganda"",""R. E. Gleason""}","{""S. Srikanta"",""O. P. Ganda"",""R. E. Gleason""}","27","author_list","True","True","True"
"793918","793918","28","id","True","True","True"
"Strong stability and host specific bacterial community in faeces of ponies.","Strong stability and host specific bacterial community in faeces of ponies.","28","article_title","True","True","True"
"eng","eng","28","article_language","True","True","True"
"PLoS One","PLoS One","28","journal_title","True","True","True"
"PloS one","PloS one","28","jounral_abbreviation","True","True","True"
"1932-6203","1932-6203","28","journal_issn","True","True","True"
"8","8","28","article_jvolumn","True","True","True"
"9","9","28","article_jissue","True","True","True"
"1/1/13","1/13/01","28","article_jcreated_at","False","False","False"
"e75079","e75079","28","article_pagination","True","True","True"
"{""Tina M Blackmore"",""Kirsty Dougal"",""Hilary J Worgan"",""Eric Pinloche"",""Gemma Curtis"",""C Jamie Newbold"",""Neil R McEwan"",""Susan E Girdwood"",""Pat A Harris"",""Caroline McG Argo"",""Alex Dugdale""}","{""Tina M Blackmore"",""Kirsty Dougal"",""Hilary J Worgan"",""Eric Pinloche"",""Gemma Curtis"",""C Jamie Newbold"",""Neil R McEwan"",""Susan E Girdwood"",""Pat A Harris"",""Caroline McG Argo"",""Alex Dugdale""}","28","author_list","True","True","True"
"819166","819166","29","id","True","True","True"
"Responses to open peer commentaries on ""the subjective brain, identity, and neuroethics""","Responses to open peer commentaries on ""the subjective brain, identity, and neuroethics""","29","article_title","True","True","True"
"English","English","29","article_language","True","True","True"
"American Journal of Bioethics","American Journal of Bioethics","29","journal_title","True","True","True"
"","","29","jounral_abbreviation","True","True","True"
"15265161 (ISSN)","15265161 (ISSN)","29","journal_issn","True","True","True"
"9","9","29","article_jvolumn","True","True","True"
"9","9","29","article_jissue","True","True","True"
"1/1/09","1/9/01","29","article_jcreated_at","False","False","False"
"W1-W4","W1-W4","29","article_pagination","True","True","True"
"{""G.R. Gillett""}","{""G.R. Gillett""}","29","author_list","True","True","True"
"880881","880881","30","id","True","True","True"
"[A case of giant Brunner's gland hyperplasia combined with adenomyomatous hyperplasia].","[A case of giant Brunner's gland hyperplasia combined with adenomyomatous hyperplasia].","30","article_title","True","True","True"
"kor","kor","30","article_language","True","True","True"
"The Korean journal of gastroenterology = Taehan Sohwagi Hakhoe chi","The Korean journal of gastroenterology = Taehan Sohwagi Hakhoe chi","30","journal_title","True","True","True"
