"from","to","id","col","score","result","compare"
"aa","aa","9","src","True","True","True"
"AA-466-IAH-MIA","AA-466-IAH-MIA","9","flight","True","True","True"
"6:00 a.m.","6:00 a.m.","9","sched_dep_time","True","True","True"
"6:08 a.m.","6:08 a.m.","9","act_dep_time","True","True","True"
"9:20 a.m.","9:20 a.m.","9","sched_arr_time","True","True","True"
"9:05 a.m.","9:05 a.m.","9","act_arr_time","True","True","True"
"11","11","10","tuple_id","True","True","True"
"aa","aa","10","src","True","True","True"
"AA-1886-BOS-MIA","AA-1886-BOS-MIA","10","flight","True","True","True"
"10:45 a.m.","10:45 a.m.","10","sched_dep_time","True","True","True"
"10:55 a.m.","10:55 a.m.","10","act_dep_time","False","True","True"
"2:20 p.m.","2:20 p.m.","10","sched_arr_time","False","True","True"
"1:40 p.m.","1:40 p.m.","10","act_arr_time","True","True","True"
"12","12","11","tuple_id","True","True","True"
"aa","aa","11","src","True","True","True"
"AA-2957-DFW-CVG","AA-2957-DFW-CVG","11","flight","True","True","True"
"7:55 a.m.","7:55 a.m.","11","sched_dep_time","True","True","True"
"8:04 a.m.","8:04 a.m.","11","act_dep_time","True","True","True"
"11:05 a.m.","11:05 a.m.","11","sched_arr_time","True","True","True"
"11:01 a.m.","11:01 a.m.","11","act_arr_time","False","True","True"
"13","13","12","tuple_id","True","True","True"
"aa","aa","12","src","True","True","True"
"AA-1664-MIA-ATL","AA-1664-MIA-ATL","12","flight","True","True","True"
"10:15 a.m.","10:15 a.m.","12","sched_dep_time","True","True","True"
"10:18 a.m.","10:18 a.m.","12","act_dep_time","False","True","True"
"12:10 p.m.","12:10 p.m.","12","sched_arr_time","True","True","True"
"11:56 a.m.","11:56 a.m.","12","act_arr_time","True","True","True"
"14","14","13","tuple_id","True","True","True"
"aa","aa","13","src","True","True","True"
"AA-3979-CVG-ORD","AA-3979-CVG-ORD","13","flight","True","True","True"
"7:30 a.m.","7:30 a.m.","13","sched_dep_time","True","True","True"
"8:04 a.m.","8:04 a.m.","13","act_dep_time","True","True","True"
"8:00 a.m.","8:00 a.m.","13","sched_arr_time","True","True","True"
"8:06 a.m.","8:06 a.m.","13","act_arr_time","False","True","True"
"15","15","14","tuple_id","True","True","True"
"aa","aa","14","src","True","True","True"
"AA-1279-DFW-PHX","AA-1279-DFW-PHX","14","flight","True","True","True"
"1:00 p.m.","1:00 p.m.","14","sched_dep_time","True","True","True"
"2:04 p.m.","2:04 p.m.","14","act_dep_time","True","True","True"
"2:35 p.m.","2:35 p.m.","14","sched_arr_time","True","True","True"
"3:30 p.m.","3:30 p.m.","14","act_arr_time","False","True","True"
"16","16","15","tuple_id","True","True","True"
"aa","aa","15","src","True","True","True"
"AA-616-DFW-DTW","AA-616-DFW-DTW","15","flight","True","True","True"
"9:05 a.m.","9:05 a.m.","15","sched_dep_time","True","True","True"
"10:10 a.m.","10:10 a.m.","15","act_dep_time","False","True","True"
"12:35 p.m.","12:35 p.m.","15","sched_arr_time","True","True","True"
"1:27 p.m.","1:27 p.m.","15","act_arr_time","True","True","True"
"17","17","16","tuple_id","True","True","True"
"aa","aa","16","src","True","True","True"
"AA-4344-ORD-DTW","AA-4344-ORD-DTW","16","flight","True","True","True"
"11:45 a.m.","11:45 a.m.","16","sched_dep_time","True","True","True"
"12:13 p.m.","12:13 p.m.","16","act_dep_time","False","True","True"
"2:00 p.m.","2:00 p.m.","16","sched_arr_time","False","True","True"
"2:10 p.m.","2:10 p.m.","16","act_arr_time","False","True","True"
"18","18","17","tuple_id","True","True","True"
"aa","aa","17","src","True","True","True"
"AA-2525-DFW-MIA","AA-2525-DFW-MIA","17","flight","True","True","True"
"7:25 a.m.","7:25 a.m.","17","sched_dep_time","True","True","True"
"7:39 a.m.","7:39 a.m.","17","act_dep_time","True","True","True"
"11:10 a.m.","11:10 a.m.","17","sched_arr_time","True","True","True"
"11:06 a.m.","11:06 a.m.","17","act_arr_time","True","True","True"
"19","19","18","tuple_id","True","True","True"
"aa","aa","18","src","True","True","True"
"AA-404-MIA-MCO","AA-404-MIA-MCO","18","flight","True","True","True"
"6:45 a.m.","6:45 a.m.","18","sched_dep_time","True","True","True"
"6:57 a.m.","6:57 a.m.","18","act_dep_time","True","True","True"
"7:45 a.m.","7:45 a.m.","18","sched_arr_time","True","True","True"
"7:40 a.m.","7:40 a.m.","18","act_arr_time","False","True","True"
"20","20","19","tuple_id","True","True","True"
"aa","aa","19","src","True","True","True"
"AA-271-MIA-LAX","AA-271-MIA-LAX","19","flight","True","True","True"
"11:35 a.m.","11:35 a.m.","19","sched_dep_time","True","True","True"
"11:52 a.m.","11:52 a.m.","19","act_dep_time","False","True","True"
"2:25 p.m.","2:25 p.m.","19","sched_arr_time","True","True","True"
"2:27 p.m.","2:27 p.m.","19","act_arr_time","False","True","True"
"21","21","20","tuple_id","True","True","True"
"aa","aa","20","src","True","True","True"
"AA-2050-ORD-MIA","AA-2050-ORD-MIA","20","flight","True","True","True"
"10:40 a.m.","10:40 a.m.","20","sched_dep_time","True","True","True"
"11:05 a.m.","11:05 a.m.","20","act_dep_time","False","True","True"
"2:45 p.m.","2:45 p.m.","20","sched_arr_time","True","True","True"
"2:46 p.m.","2:46 p.m.","20","act_arr_time","True","True","True"
"22","22","21","tuple_id","True","True","True"
"aa","aa","21","src","True","True","True"
"AA-4330-CVG-ORD","AA-4330-CVG-ORD","21","flight","True","True","True"
"3:35 p.m.","3:35 p.m.","21","sched_dep_time","True","True","True"
"3:36 p.m.","3:36 p.m.","21","act_dep_time","True","True","True"
"4:00 p.m.","4:00 p.m.","21","sched_arr_time","True","True","True"
"3:33 p.m.","3:33 p.m.","21","act_arr_time","False","True","True"
"23","23","22","tuple_id","True","True","True"
"aa","aa","22","src","True","True","True"
"AA-1434-DFW-MCO","AA-1434-DFW-MCO","22","flight","True","True","True"
"7:15 a.m.","7:15 a.m.","22","sched_dep_time","True","True","True"
"7:21 a.m.","7:21 a.m.","22","act_dep_time","True","True","True"
"10:35 a.m.","10:35 a.m.","22","sched_arr_time","True","True","True"
"10:36 a.m.","10:36 a.m.","22","act_arr_time","True","True","True"
"24","24","23","tuple_id","True","True","True"
"aa","aa","23","src","True","True","True"
"AA-4307-ORD-DTW","AA-4307-ORD-DTW","23","flight","True","True","True"
"6:45 p.m.","6:45 p.m.","23","sched_dep_time","True","True","True"
"6:55 p.m.","6:55 p.m.","23","act_dep_time","True","True","True"
"9:10 p.m.","9:10 p.m.","23","sched_arr_time","True","True","True"
"8:53 p.m.","8:53 p.m.","23","act_arr_time","False","True","True"
"25","25","24","tuple_id","True","True","True"
"aa","aa","24","src","True","True","True"
"AA-3-JFK-LAX","AA-3-JFK-LAX","24","flight","True","True","True"
"12:00 p.m.","12:00 p.m.","24","sched_dep_time","True","True","True"
"12:11 p.m.","12:11 p.m.","24","act_dep_time","False","True","True"
"3:15 p.m.","3:15 p.m.","24","sched_arr_time","True","True","True"
"3:16 p.m.","3:16 p.m.","24","act_arr_time","True","True","True"
"26","26","25","tuple_id","True","True","True"
"aa","aa","25","src","True","True","True"
"AA-3842-MSP-ORD","AA-3842-MSP-ORD","25","flight","True","True","True"
"6:00 a.m.","6:00 a.m.","25","sched_dep_time","True","True","True"
"6:56 a.m.","6:56 a.m.","25","act_dep_time","True","True","True"
"7:30 a.m.","7:30 a.m.","25","sched_arr_time","True","True","True"
"7:51 a.m.","7:51 a.m.","25","act_arr_time","True","True","True"
"27","27","26","tuple_id","True","True","True"
"aa","aa","26","src","True","True","True"
"AA-643-MIA-ORD","AA-643-MIA-ORD","26","flight","True","True","True"
"7:10 a.m.","7:10 a.m.","26","sched_dep_time","True","True","True"
"7:30 a.m.","7:30 a.m.","26","act_dep_time","True","True","True"
"9:35 a.m.","9:35 a.m.","26","sched_arr_time","True","True","True"
"9:31 a.m.","9:31 a.m.","26","act_arr_time","True","True","True"
"28","28","27","tuple_id","True","True","True"
"aa","aa","27","src","True","True","True"
"AA-1007-MIA-PHX","AA-1007-MIA-PHX","27","flight","True","True","True"
"4:55 p.m.","4:55 p.m.","27","sched_dep_time","True","True","True"
"5:08 p.m.","5:08 p.m.","27","act_dep_time","False","True","True"
"8:05 p.m.","8:05 p.m.","27","sched_arr_time","True","True","True"
"7:55 p.m.","7:55 p.m.","27","act_arr_time","False","True","True"
"29","29","28","tuple_id","True","True","True"
"aa","aa","28","src","True","True","True"
"AA-1221-MCO-ORD","AA-1221-MCO-ORD","28","flight","True","True","True"
"8:00 p.m.","8:00 p.m.","28","sched_dep_time","True","True","True"
"8:23 p.m.","8:23 p.m.","28","act_dep_time","True","True","True"
"9:45 p.m.","9:45 p.m.","28","sched_arr_time","True","True","True"
"9:53 p.m.","9:53 p.m.","28","act_arr_time","False","True","True"
"30","30","29","tuple_id","True","True","True"
"aa","aa","29","src","True","True","True"
"AA-400-DFW-JFK","AA-400-DFW-JFK","29","flight","True","True","True"
"10:40 a.m.","10:40 a.m.","29","sched_dep_time","True","True","True"
"11:01 a.m.","11:01 a.m.","29","act_dep_time","False","True","True"
"2:59 p.m.","2:59 p.m.","29","sched_arr_time","True","True","True"
"3:04 p.m.","3:04 p.m.","29","act_arr_time","True","True","True"
"31","31","30","tuple_id","True","True","True"
"aa","aa","30","src","True","True","True"
"AA-4198-ORD-CLE","AA-4198-ORD-CLE","30","flight","True","True","True"
"10:40 a.m.","10:40 a.m.","30","sched_dep_time","True","True","True"
"10:54 a.m.","10:54 a.m.","30","act_dep_time","False","True","True"
"12:55 p.m.","12:55 p.m.","30","sched_arr_time","True","True","True"
"12:50 p.m.","12:50 p.m.","30","act_arr_time","False","True","True"
"32","32","31","tuple_id","True","True","True"
"aa","aa","31","src","True","True","True"
"AA-1522-SFO-ORD","AA-1522-SFO-ORD","31","flight","True","True","True"
"11:55 p.m.","11:55 p.m.","31","sched_dep_time","True","True","True"
"","11:55 p.m.","31","act_dep_time","False","False","False"
"12/02/2011 5:50 a.m.","5:50 a.m.","31","sched_arr_time","False","False","False"
"","5:50 a.m.","31","act_arr_time","False","False","False"
"33","33","32","tuple_id","True","True","True"
"aa","aa","32","src","True","True","True"
"AA-3823-LAX-DEN","AA-3823-LAX-DEN","32","flight","True","True","True"
"9:00 p.m.","9:00 p.m.","32","sched_dep_time","True","True","True"
"","9:00 p.m.","32","act_dep_time","False","False","False"
"12/02/2011 12:15 a.m.","12:15 a.m.","32","sched_arr_time","False","False","False"
"","12:15 a.m.","32","act_arr_time","False","False","False"
"34","34","33","tuple_id","True","True","True"
"aa","aa","33","src","True","True","True"
"AA-2312-DFW-DTW","AA-2312-DFW-DTW","33","flight","True","True","True"
"8:25 p.m.","8:25 p.m.","33","sched_dep_time","True","True","True"
"","8:25 p.m.","33","act_dep_time","False","False","False"
"11:50 p.m.","11:50 p.m.","33","sched_arr_time","True","True","True"
"","11:50 p.m.","33","act_arr_time","False","False","False"
"35","35","34","tuple_id","True","True","True"
"aa","aa","34","src","True","True","True"
"AA-1165-JFK-MIA","AA-1165-JFK-MIA","34","flight","True","True","True"
"6:59 a.m.","6:59 a.m.","34","sched_dep_time","True","True","True"
"7:22 a.m.","7:22 a.m.","34","act_dep_time","True","True","True"
"10:34 a.m.","10:34 a.m.","34","sched_arr_time","True","True","True"
"10:04 a.m.","10:04 a.m.","34","act_arr_time","False","True","True"
"36","36","35","tuple_id","True","True","True"
"aa","aa","35","src","True","True","True"
"AA-431-MIA-SFO","AA-431-MIA-SFO","35","flight","True","True","True"
"8:35 a.m.","8:35 a.m.","35","sched_dep_time","True","True","True"
"8:51 a.m.","8:51 a.m.","35","act_dep_time","False","True","True"
"11:50 a.m.","11:50 a.m.","35","sched_arr_time","True","True","True"
"11:44 a.m.","11:44 a.m.","35","act_arr_time","True","True","True"
"37","37","36","tuple_id","True","True","True"
"aa","aa","36","src","True","True","True"
"AA-649-ORD-SNA","AA-649-ORD-SNA","36","flight","True","True","True"
"1:30 p.m.","1:30 p.m.","36","sched_dep_time","True","True","True"
"","1:30 p.m.","36","act_dep_time","False","False","False"
"3:50 p.m.","3:50 p.m.","36","sched_arr_time","True","True","True"
"","3:50 p.m.","36","act_arr_time","False","False","False"
"38","38","37","tuple_id","True","True","True"
"aa","aa","37","src","True","True","True"
"AA-3063-SLC-LAX","AA-3063-SLC-LAX","37","flight","True","True","True"
"8:20 p.m.","8:20 p.m.","37","sched_dep_time","True","True","True"
"8:39 p.m.","8:39 p.m.","37","act_dep_time","False","True","True"
"9:20 p.m.","9:20 p.m.","37","sched_arr_time","True","True","True"
"","9:20 p.m.","37","act_arr_time","False","False","False"
"39","39","38","tuple_id","True","True","True"
"aa","aa","38","src","True","True","True"
"AA-3804-PHL-ORD","AA-3804-PHL-ORD","38","flight","True","True","True"
"2:35 p.m.","2:35 p.m.","38","sched_dep_time","True","True","True"
"2:44 p.m.","2:44 p.m.","38","act_dep_time","True","True","True"
"4:05 p.m.","4:05 p.m.","38","sched_arr_time","True","True","True"
"3:43 p.m.","3:43 p.m.","38","act_arr_time","True","True","True"
"40","40","39","tuple_id","True","True","True"
"aa","aa","39","src","True","True","True"
"AA-1917-JFK-MCO","AA-1917-JFK-MCO","39","flight","True","True","True"
"2:55 p.m.","2:55 p.m.","39","sched_dep_time","True","True","True"
"3:27 p.m.","3:27 p.m.","39","act_dep_time","True","True","True"
"5:55 p.m.","5:55 p.m.","39","sched_arr_time","True","True","True"
"5:43 p.m.","5:43 p.m.","39","act_arr_time","True","True","True"
"41","41","40","tuple_id","True","True","True"
"aa","aa","40","src","True","True","True"
"AA-2268-PHX-ORD","AA-2268-PHX-ORD","40","flight","True","True","True"
"7:15 a.m.","7:15 a.m.","40","sched_dep_time","True","True","True"
"7:22 a.m.","7:22 a.m.","40","act_dep_time","True","True","True"
"11:35 a.m.","11:35 a.m.","40","sched_arr_time","True","True","True"
"11:06 a.m.","11:06 a.m.","40","act_arr_time","True","True","True"
"42","42","41","tuple_id","True","True","True"
"aa","aa","41","src","True","True","True"
"AA-4277-CVG-JFK","AA-4277-CVG-JFK","41","flight","True","True","True"
"12:10 p.m.","12:10 p.m.","41","sched_dep_time","True","True","True"
"12:10 p.m.","12:10 p.m.","41","act_dep_time","False","True","True"
"2:15 p.m.","2:15 p.m.","41","sched_arr_time","True","True","True"
"1:43 p.m.","1:43 p.m.","41","act_arr_time","True","True","True"
"43","43","42","tuple_id","True","True","True"
"aa","aa","42","src","True","True","True"
"AA-789-ORD-DEN","AA-789-ORD-DEN","42","flight","True","True","True"
"1:05 p.m.","1:05 p.m.","42","sched_dep_time","True","True","True"
"1:19 p.m.","1:19 p.m.","42","act_dep_time","False","True","True"
"2:35 p.m.","2:35 p.m.","42","sched_arr_time","True","True","True"
"3:13 p.m.","3:13 p.m.","42","act_arr_time","True","True","True"
"44","44","43","tuple_id","True","True","True"
"aa","aa","43","src","True","True","True"
"AA-415-BOS-ORD","AA-415-BOS-ORD","43","flight","True","True","True"
"8:35 a.m.","8:35 a.m.","43","sched_dep_time","True","True","True"
"8:56 a.m.","8:56 a.m.","43","act_dep_time","True","True","True"
"10:40 a.m.","10:40 a.m.","43","sched_arr_time","True","True","True"
"10:16 a.m.","10:16 a.m.","43","act_arr_time","True","True","True"
"45","45","44","tuple_id","True","True","True"
"aa","aa","44","src","True","True","True"
"AA-85-JFK-SFO","AA-85-JFK-SFO","44","flight","True","True","True"
"3:05 p.m.","3:05 p.m.","44","sched_dep_time","True","True","True"
"3:36 p.m.","3:36 p.m.","44","act_dep_time","True","True","True"
"6:30 p.m.","6:30 p.m.","44","sched_arr_time","True","True","True"
"6:43 p.m.","6:43 p.m.","44","act_arr_time","True","True","True"
"46","46","45","tuple_id","True","True","True"
"aa","aa","45","src","True","True","True"
"AA-1544-SAN-ORD","AA-1544-SAN-ORD","45","flight","True","True","True"
"11:25 a.m.","11:25 a.m.","45","sched_dep_time","True","True","True"
"11:40 a.m.","11:40 a.m.","45","act_dep_time","False","True","True"
"5:25 p.m.","5:25 p.m.","45","sched_arr_time","True","True","True"
"4:56 p.m.","4:56 p.m.","45","act_arr_time","True","True","True"
"47","47","46","tuple_id","True","True","True"
"aa","aa","46","src","True","True","True"
"AA-3786-IAH-ORD","AA-3786-IAH-ORD","46","flight","True","True","True"
"4:00 p.m.","4:00 p.m.","46","sched_dep_time","True","True","True"
"4:12 p.m.","4:12 p.m.","46","act_dep_time","True","True","True"
"6:40 p.m.","6:40 p.m.","46","sched_arr_time","True","True","True"
"6:15 p.m.","6:15 p.m.","46","act_arr_time","True","True","True"
"48","48","47","tuple_id","True","True","True"
"aa","aa","47","src","True","True","True"
"AA-222-LAX-BOS","AA-222-LAX-BOS","47","flight","True","True","True"
"7:10 a.m.","7:10 a.m.","47","sched_dep_time","True","True","True"
"7:31 a.m.","7:31 a.m.","47","act_dep_time","True","True","True"
"3:30 p.m.","3:30 p.m.","47","sched_arr_time","True","True","True"
"3:14 p.m.","3:14 p.m.","47","act_arr_time","True","True","True"
"49","49","48","tuple_id","True","True","True"
"aa","aa","48","src","True","True","True"
"AA-3809-PHX-LAX","AA-3809-PHX-LAX","48","flight","True","True","True"
"6:00 a.m.","6:00 a.m.","48","sched_dep_time","True","True","True"
"6:10 a.m.","6:10 a.m.","48","act_dep_time","True","True","True"
"6:40 a.m.","6:40 a.m.","48","sched_arr_time","True","True","True"
"6:19 a.m.","6:19 a.m.","48","act_arr_time","True","True","True"
"50","50","49","tuple_id","True","True","True"
"aa","aa","49","src","True","True","True"
"AA-59-JFK-SFO","AA-59-JFK-SFO","49","flight","True","True","True"
"7:10 a.m.","7:10 a.m.","49","sched_dep_time","True","True","True"
"7:39 a.m.","7:39 a.m.","49","act_dep_time","True","True","True"
"10:45 a.m.","10:45 a.m.","49","sched_arr_time","True","True","True"
"11:12 a.m.","11:12 a.m.","49","act_arr_time","False","True","True"
"51","51","50","tuple_id","True","True","True"
"helloflight","helloflight","50","src","True","True","True"
"AA-3859-IAH-ORD","AA-3859-IAH-ORD","50","flight","True","True","True"
"","7:10 a.m.","50","sched_dep_time","False","False","False"
"7:16 a.m.","7:16 a.m.","50","act_dep_time","True","True","True"
"","9:40 a.m.","50","sched_arr_time","False","False","False"
"9:22 a.m.","9:32 a.m.","50","act_arr_time","True","False","False"
"52","52","51","tuple_id","True","True","True"
"helloflight","helloflight","51","src","True","True","True"
"CO-1586-IAH-MCO","CO-1586-IAH-MCO","51","flight","True","True","True"
"7:00 p.m.","7:00 p.m.","51","sched_dep_time","True","True","True"
"","7:14 p.m.","51","act_dep_time","False","False","False"
"10:15 p.m.","10:15 p.m.","51","sched_arr_time","True","True","True"
"","10:29 p.m.","51","act_arr_time","False","False","False"
"53","53","52","tuple_id","True","True","True"
"helloflight","helloflight","52","src","True","True","True"
"AA-518-MIA-JFK","AA-518-MIA-JFK","52","flight","True","True","True"
"","6:40 a.m.","52","sched_dep_time","False","False","False"
"6:54 a.m.","6:54 a.m.","52","act_dep_time","True","True","True"
"","9:25 a.m.","52","sched_arr_time","False","False","False"
"9:14 a.m.","9:28 a.m.","52","act_arr_time","True","False","False"
"54","54","53","tuple_id","True","True","True"
"helloflight","helloflight","53","src","True","True","True"
"UA-397-JFK-SFO","UA-397-JFK-SFO","53","flight","True","True","True"
"","8:00 a.m.","53","sched_dep_time","False","False","False"
"8:48 a.m.","8:29 a.m.","53","act_dep_time","False","False","False"
"","11:55 a.m.","53","sched_arr_time","False","False","False"
"11:30 a.m.","11:58 a.m.","53","act_arr_time","False","False","False"
"55","55","54","tuple_id","True","True","True"
"helloflight","helloflight","54","src","True","True","True"
"UA-3925-IAD-ORF","UA-3925-IAD-ORF","54","flight","True","True","True"
"","8:41 a.m.","54","sched_dep_time","False","False","False"
"9:00 a.m.","8:42 a.m.","54","act_dep_time","False","False","False"
"","9:54 a.m.","54","sched_arr_time","False","False","False"
"9:29 a.m.","9:43 a.m.","54","act_arr_time","True","False","False"
"56","56","55","tuple_id","True","True","True"
"helloflight","helloflight","55","src","True","True","True"
"AA-1733-ORD-PHX","AA-1733-ORD-PHX","55","flight","True","True","True"
"","7:45 p.m.","55","sched_dep_time","False","False","False"
"7:59 p.m.","7:58 p.m.","55","act_dep_time","True","False","False"
"","10:30 p.m.","55","sched_arr_time","False","False","False"
"10:31 p.m.","10:30 p.m.","55","act_arr_time","False","False","False"
"57","57","56","tuple_id","True","True","True"
"helloflight","helloflight","56","src","True","True","True"
"UA-2830-MCO-CLT","UA-2830-MCO-CLT","56","flight","True","True","True"
"","3:27 p.m.","56","sched_dep_time","False","False","False"
"3:50 p.m.","3:27 p.m.","56","act_dep_time","False","False","False"
"","5:05 p.m.","56","sched_arr_time","False","False","False"
"5:14 p.m.","5:17 p.m.","56","act_arr_time","True","False","False"
"58","58","57","tuple_id","True","True","True"
"helloflight","helloflight","57","src","True","True","True"
"CO-58-DEN-IAH","CO-58-DEN-IAH","57","flight","True","True","True"
"11:25 a.m.","11:25 a.m.","57","sched_dep_time","True","True","True"
"","11:32 a.m.","57","act_dep_time","False","False","False"
"2:50 p.m.","2:50 p.m.","57","sched_arr_time","True","True","True"
"","3:31 p.m.","57","act_arr_time","False","False","False"
"59","59","58","tuple_id","True","True","True"
"helloflight","helloflight","58","src","True","True","True"
"AA-1544-SAN-ORD","AA-1544-SAN-ORD","58","flight","True","True","True"
"","11:25 a.m.","58","sched_dep_time","False","False","False"
"11:41 a.m.","11:40 a.m.","58","act_dep_time","False","False","False"
"","5:25 p.m.","58","sched_arr_time","False","False","False"
"4:54 p.m.","4:56 p.m.","58","act_arr_time","False","False","False"
"60","60","59","tuple_id","True","True","True"
"helloflight","helloflight","59","src","True","True","True"
"UA-5487-SFO-MRY","UA-5487-SFO-MRY","59","flight","True","True","True"
"","10:39 a.m.","59","sched_dep_time","False","False","False"
"10:53 a.m.","10:33 a.m.","59","act_dep_time","False","False","False"
"","11:19 a.m.","59","sched_arr_time","False","False","False"
"11:11 a.m.","11:21 a.m.","59","act_arr_time","False","False","False"
"61","61","60","tuple_id","True","True","True"
"helloflight","helloflight","60","src","True","True","True"
"AA-204-LAX-MCO","AA-204-LAX-MCO","60","flight","True","True","True"
"","11:25 p.m.","60","sched_dep_time","False","False","False"
"11:29 p.m.","11:25 p.m.","60","act_dep_time","False","False","False"
"","6:55 a.m.","60","sched_arr_time","False","False","False"
"12/2/11 6:35 a.m.","6:55 a.m.","60","act_arr_time","False","False","False"
"62","62","61","tuple_id","True","True","True"
"helloflight","helloflight","61","src","True","True","True"
"UA-414-LAX-SFO","UA-414-LAX-SFO","61","flight","True","True","True"
"","6:00 a.m.","61","sched_dep_time","False","False","False"
"6:10 a.m.","5:56 a.m.","61","act_dep_time","True","False","False"
"","7:23 a.m.","61","sched_arr_time","False","False","False"
"7:04 a.m.","7:17 a.m.","61","act_arr_time","False","False","False"
"63","63","62","tuple_id","True","True","True"
"helloflight","helloflight","62","src","True","True","True"
"CO-1614-LAX-IAH","CO-1614-LAX-IAH","62","flight","True","True","True"
"12:30 a.m.","12:30 a.m.","62","sched_dep_time","True","True","True"
"","12:41 a.m.","62","act_dep_time","False","False","False"
"5:35 a.m.","5:35 a.m.","62","sched_arr_time","True","True","True"
"","5:26 a.m.","62","act_arr_time","False","False","False"
"64","64","63","tuple_id","True","True","True"
"helloflight","helloflight","63","src","True","True","True"
"UA-2726-FLL-PHL","UA-2726-FLL-PHL","63","flight","True","True","True"
"","4:00 p.m.","63","sched_dep_time","False","False","False"
"4:10 p.m.","4:00 p.m.","63","act_dep_time","True","False","False"
"","6:46 p.m.","63","sched_arr_time","False","False","False"
"6:25 p.m.","6:28 p.m.","63","act_arr_time","False","False","False"
"65","65","64","tuple_id","True","True","True"
"helloflight","helloflight","64","src","True","True","True"
"CO-52-IAH-LAX","CO-52-IAH-LAX","64","flight","True","True","True"
"7:35 a.m.","7:35 a.m.","64","sched_dep_time","True","True","True"
